[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | .ctor
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | readSettings
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SelectGameFolderPath
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | .ctor
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | InitializeValues
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | .ctor
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | InitializeValues
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | LoadSettings
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | OnPropertyChanged
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SetGameFolderPath
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetOriginalSize
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetPosition
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | LoadFolder
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | CreateCGList
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetCommands
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:27:1] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | SetFontSize
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingsObject.cs | .ctor
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | .ctor
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | readSettings
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | SelectGameFolderPath
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | .ctor
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\MainWindow.xaml.cs | InitializeValues
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | .ctor
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | InitializeValues
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetFontSize
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\SettingWindow.xaml.cs | LoadSettings
[14:28:23] C:\Users\Robin\Desktop\c# Projekts\GameStartBar\GameStartBar\Settings.cs | GetGameFolderPath
